long;lat;id;linea;estacion;numero_de_;destino_bo;lineas_de_;cierra_fin;escalera_p;escalera_m;ascensor;rampa;salvaescal;calle;altura;calle2;barrio;comuna;observacio;Objeto;dom_norma;dom_orig
-5.844.885.903;-346.234.899;78;A;PUAN;1;a Plaza de Mayo y San Pedrito;;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Rivadavia;5943;;Caballito;Comuna 6;Vestíbulo intermedio;Boca de subte;RIVADAVIA AV. 5943;Rivadavia 5943
-5.845.633.436;-3.462.641.852;79;A;CARABOBO;1;a Plaza de Mayo y San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;6375;;Flores;Comuna 7;Vestíbulo intermedio;Boca de subte;RIVADAVIA AV. 6375;Rivadavia 6375
-5.845.623.918;-3.462.660.521;80;A;CARABOBO;2;a Plaza de Mayo y San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;6366;;Flores;Comuna 7;Vestíbulo intermedio;Boca de subte;RIVADAVIA AV. 6366;Rivadavia 6366
-5.845.582.696;-3.462.622.384;81;A;CARABOBO;3;a Plaza de Mayo y San Pedrito;;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Rivadavia;6331;;Flores;Comuna 7;Salida unicamente;Boca de subte;RIVADAVIA AV. 6331;Rivadavia 6331
-5.845.571.931;-3.462.641.963;82;A;CARABOBO;6;a Plaza de Mayo y San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;6330;;Flores;Comuna 7;Vestíbulo intermedio;Boca de subte;RIVADAVIA AV. 6330;Rivadavia 6330
-5.845.601.228;-346.265.185;83;A;CARABOBO;4;a Plaza de Mayo y San Pedrito;;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Rivadavia;6354;;Flores;Comuna 7;Vestíbulo intermedio;Boca de subte;RIVADAVIA AV. 6354;Rivadavia 6354
-5.846.374.935;-3.462.895.041;84;A;SAN JOSE DE FLORES;5;a Plaza de Mayo y San Pedrito;;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Rivadavia;6989;;Flores;Comuna 7;Vestíbulo intermedio;Boca de subte;RIVADAVIA AV. 6989;Rivadavia 6989
-5.846.364.285;-3.462.923.613;85;A;SAN JOSE DE FLORES;2;a Plaza de Mayo y San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;6970;;Flores;Comuna 7;Vestíbulo intermedio;Boca de subte;RIVADAVIA AV. 6970;Rivadavia 6970
-5.846.308.535;-3.462.907.962;86;A;SAN JOSE DE FLORES;4;Salida unicamente;;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Rivadavia;6928;;Flores;Comuna 7;Salida unicamente;Boca de subte;RIVADAVIA AV. 6928;Rivadavia 6928
-5.846.360.019;-3.462.886.698;87;A;SAN JOSE DE FLORES;3;a Plaza de Mayo y San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;6969;;Flores;Comuna 7;Vestíbulo intermedio;Boca de subte;RIVADAVIA AV. 6969;Rivadavia 6969
-5.846.330.567;-346.287.884;88;A;SAN JOSE DE FLORES;7;a Plaza de Mayo y San Pedrito;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;6939;;Flores;Comuna 7;Vestíbulo intermedio;Boca de subte;RIVADAVIA AV. 6939;Rivadavia 6939
-5.846.386.448;-3.462.897.903;89;A;SAN JOSE DE FLORES;1;Salida unicamente;;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Rivadavia;6989;;Flores;Comuna 7;Salida unicamente;Boca de subte;RIVADAVIA AV. 6989;Rivadavia 6989
-5.847.074.355;-3.463.081.689;90;A;SAN PEDRITO;1;a Plaza de Mayo;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;7469;;Flores;Comuna 7;Vestíbulo intermedio;Boca de subte;RIVADAVIA AV. 7469;Rivadavia 7469
-584.708.797;-3.463.123.361;91;A;SAN PEDRITO;2;a Plaza de Mayo;;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Rivadavia;7490;;Flores;Comuna 7;Vestíbulo intermedio;Boca de subte;RIVADAVIA AV. 7490;Rivadavia 7490
-584.702.255;-346.306.758;92;A;SAN PEDRITO;5;Salida unicamente;;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Rivadavia;7431;;Flores;Comuna 7;Salida unicamente;Boca de subte;RIVADAVIA AV. 7431;Rivadavia 7431
