long,lat,id,linea,estacion,numero_de_,destino_bo,lineas_de_,cierra_fin,escalera_p,escalera_m,ascensor,rampa,salvaescal,calle,altura,calle2,barrio,comuna,observacio,Objeto,dom_norma,dom_orig
-58.41600711,-34.62512215,294,E,BOEDO,3,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Boedo,966,,Boedo,Comuna 5,Andén central,Boca de subte,BOEDO AV. 966,Boedo 966
-58.41623458,-34.62517841,295,E,BOEDO,1,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Boedo,981,,Boedo,Comuna 5,Andén central,Boca de subte,BOEDO AV. 981,Boedo 981
-58.42621008,-34.62702779,296,E,AV. LA PLATA,6,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,4370,,Boedo,Comuna 5,Andén central,Boca de subte,SAN JUAN AV. 4370,San Juan 4370
-58.42646098,-34.62706426,297,E,AV. LA PLATA,4,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,4396,,Boedo,Comuna 5,Andén central,Boca de subte,SAN JUAN AV. 4396,San Juan 4396
-58.4262555,-34.62682447,298,E,AV. LA PLATA,5,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,4361,,Boedo,Comuna 5,Andén central,Boca de subte,SAN JUAN AV. 4361,San Juan 4361
-58.42651023,-34.62686415,299,E,AV. LA PLATA,3,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,San Juan,4397,,Boedo,Comuna 5,Andén central,Boca de subte,SAN JUAN AV. 4397,San Juan 4397
-58.4270133,-34.6269416,300,E,AV. LA PLATA,1,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Directorio,11,,Caballito,Comuna 6,Andén central,Boca de subte,DIRECTORIO AV. 11,Directorio 11
-58.42697344,-34.62712971,301,E,AV. LA PLATA,2,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Directorio,12,,Parque Chacabuco,Comuna 7,Andén central,Boca de subte,DIRECTORIO AV. 12,Directorio 12
-58.43386484,-34.62826592,302,E,JOSE MARIA MORENO,2,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,José María Moreno,813,,Parque Chacabuco,Comuna 7,Vestíbulo intermedio,Boca de subte,MORENO. JOSE MARIA AV. 813,José María Moreno 
-58.43397216,-34.62783788,303,E,JOSE MARIA MORENO,1,a Retiro y Plaza de los Virreyes,,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,José María Moreno,793,,Caballito,Comuna 6,Vestíbulo intermedio,Boca de subte,MORENO. JOSE MARIA AV. 793,José María Moreno 793
